################ (Airport Name : PR) ################
(Simon Bolivar Intl, Venezuela : 0.0013318869848825134)
(Huanghua, China : 0.0013306993299392479)
(Tianhe, China : 0.001319409773054094)
(Ronald Reagan Washington Natl, United States : 0.0013159308687657116)
(Geneve Cointrin, Switzerland : 0.0013076183047576082)
(Viracopos, Brazil : 0.001296824599677077)
(Tampa Intl, United States : 0.0012915420613930563)
(Ruzyne, Czech Republic : 0.001287691064543786)
(Lukou, China : 0.0012763785860328341)
(Alicante, Spain : 0.0012762613099171292)
(Ibiza, Spain : 0.001264072613351307)
(Birmingham, United Kingdom : 0.0012563828833788775)
(Tocumen Intl, Panama : 0.0012558144245115325)
(Don Muang Intl, Thailand : 0.0012553778467246275)
(Netaji Subhash Chandra Bose Intl, India : 0.0012335843067630403)
(Cote D\\'Azur, France : 0.0012281704105129552)
(Juneau Intl, United States : 0.001221944840378952)
(Venezia Tessera, Italy : 0.0012194317719890551)
(Tansonnhat Intl, Vietnam : 0.0011964187225575484)
(Stuttgart, Germany : 0.0011876981003610748)
(Bali Ngurah Rai, Indonesia : 0.001176180241228192)
(Saint Exupery, France : 0.001170671692637229)
(Cairns Intl, Australia : 0.0011688568704410827)
(Gran Canaria, Spain : 0.0011680678407650568)
(Hamburg, Germany : 0.0011623917546490557)
(San Diego Intl, United States : 0.0011569571849769137)
(Port Vila Bauerfield, Vanuatu : 0.00113559779784179)
(Houari Boumediene, Algeria : 0.0011330369120590793)
(Edinburgh, United Kingdom : 0.0011292821688151375)
(Juan Santamaria Intl, Costa Rica : 0.0011276059242236942)
(Provence, France : 0.0011225092861121492)
(Okecie, Poland : 0.001120613701441194)
(Mohammed V Intl, Morocco : 0.001106863307737482)
(Sioux Lookout, Canada : 0.0011054281369380263)
(Glasgow, United Kingdom : 0.0011041214050029773)
(Deputado Luis Eduardo Magalhaes, Brazil : 0.0011007898596222547)
(Mashhad, Iran : 0.0010915244183636816)
(Ben Gurion, Israel : 0.00109151957403854)
(Edmonton Intl, Canada : 0.0010907704227900187)
(Nikos Kazantzakis, Greece : 0.001086480091057635)
(Nadi Intl, Fiji : 0.0010810604561005237)
(Eduardo Gomes Intl, Brazil : 0.0010733420605416875)
(Xinzheng, China : 0.0010732854521187884)
(Vnukovo, Russia : 0.001064349099745301)
(Hasanuddin, Indonesia : 0.001062178655272384)
(Antalya, Turkey : 0.0010483555902886812)
(Bangalore, India : 0.0010469122010664871)
(Chennai Intl, India : 0.0010418011734871905)
(Zhoushuizi, China : 0.0010417523850138478)
(Queen Alia Intl, Jordan : 0.001039107485298103)
(Koln Bonn, Germany : 0.001021147946149665)
(Ministro Pistarini, Argentina : 0.0010180499331881772)
(Kuwait Intl, Kuwait : 0.0010158402238417048)
(Tancredo Neves Intl, Brazil : 0.0010148910205071964)
(Nome, United States : 0.0010105490813045108)
(Luis Munoz Marin Intl, Puerto Rico : 0.0010075532849630172)
(Henri Coanda, Romania : 0.0010028898824510468)
(Adelaide Intl, Australia : 0.0009954471587303435)
(Shenyang Taoxian International Airport, China : 0.000994541613111236)
(Noibai Intl, Vietnam : 0.000985662490382531)
(Rhodes Diagoras, Greece : 0.0009852371034567364)
(Magenta, New Caledonia : 0.0009842269298847533)
(Mactan Cebu Intl, Philippines : 0.0009835364105826232)
(Boryspil Intl, Ukraine : 0.000979947815959102)
(Cleveland Hopkins Intl, United States : 0.0009797480230042252)
(Tenerife Sur, Spain : 0.0009754177501896139)
(Seeb Intl, Oman : 0.0009713854203402258)
(Yellowknife, Canada : 0.0009641472868413506)
(Taiping, China : 0.0009608978324280268)
(Koltsovo, Russia : 0.0009485320306499523)
(Ralph Wien Mem, United States : 0.0009482765767334838)
(Bergamo Orio Al Serio, Italy : 0.0009333307029977528)
(New Chitose, Japan : 0.0009327326283693342)
(Tribhuvan Intl, Nepal : 0.0009320924579985408)
(Marcos A Gelabert Intl, Panama : 0.0009306496285147785)
(Luanda 4 De Fevereiro, Angola : 0.0009289906280820949)
(Darwin Intl, Australia : 0.0009246457041084613)
(Lynden Pindling Intl, Bahamas : 0.0009244127149654973)
(Riga Intl, Latvia : 0.0009220300807332574)
(Jose Marti Intl, Cuba : 0.000921265773242103)
(Jinan, China : 0.0009137877615706212)
(Juanda, Indonesia : 0.000910531957190143)
(Tolmachevo, Russia : 0.0009074232357733896)
(Binhai, China : 0.0009048657526330132)
(Longdongbao, China : 0.0009022202794643422)
(Bristol, United Kingdom : 0.0008829526269941021)
(Salgado Filho, Brazil : 0.0008796709445121418)
(Luton, United Kingdom : 0.0008761916290413061)
(Afonso Pena, Brazil : 0.0008728829734856769)
(Wellington Intl, New Zealand : 0.0008706373181945263)
(Don Miguel Hidalgo Y Costilla Intl, Mexico : 0.0008693745971126717)
(Fukuoka, Japan : 0.0008654340766178279)
(Jinnah Intl, Pakistan : 0.000861585875427715)
(Hyderabad, India : 0.0008542103694714798)
(Bandaranaike Intl Colombo, Sri Lanka : 0.0008538992537914349)
(Yuzhny, Uzbekistan : 0.0008495871901078775)
(Kansas City Intl, United States : 0.0008487734082672294)
(Porto, Portugal : 0.0008399578085318088)
(Luqa, Malta : 0.0008397813636574966)
(Congonhas, Brazil : 0.0008395136195498929)
(Nashville Intl, United States : 0.0008249338387198964)
(Mariscal Sucre Intl, Ecuador : 0.0008207880437056157)
(Wuxu, China : 0.0008147167975927513)
(Almaty, Kazakhstan : 0.000814702438037508)
(Nottingham East Midlands, United Kingdom : 0.0008137092983649255)
(Chubu Centrair Intl, Japan : 0.000813035066504267)
(Faro, Portugal : 0.0008128752249347758)
(Lanzarote, Spain : 0.0008113489803037515)
(Murtala Muhammed, Nigeria : 0.0008074774725498083)
(Orlando Sanford Intl, United States : 0.0008049021921467521)
(Christchurch Intl, New Zealand : 0.0008045756981842899)
(Wusu, China : 0.0007957184375356759)
(William P Hobby, United States : 0.0007927476801773785)
(Carthage, Tunisia : 0.000788207724893149)
